operator,feature,importance
cbbim,DPhi_bb,0.0052486187845303565
cbbim,DPhi_yybb,-0.0007059545733579143
cbbim,Eta_jj,-0.0010742786985881159
cbbim,Eta_yybb,0.0007673419275628923
cbbim,Higgs_Eta,-0.0008901166359730261
cbbim,Higgs_Mass,-0.0007980356046654701
cbbim,Higgs_Phi,-0.0011356660527931605
cbbim,Higgs_pT,-0.002885205647636657
cbbim,LeadJet_Eta,0.0017802332719459412
cbbim,LeadJet_M,-0.002701043585021523
cbbim,LeadJet_Phi,0.00021485573971755657
cbbim,LeadJet_pT,0.008686310620012239
cbbim,LeadPhoton_Eta,-0.0027317372621240344
cbbim,LeadPhoton_Phi,-0.0009208103130755596
cbbim,LeadPhoton_pT,0.015039901780233223
cbbim,M_jj,0.040822590546347425
cbbim,Phi1,-0.0012277470841007166
cbbim,Phi_jj,-0.0046654389195825985
cbbim,SubLeadJet_Eta,-0.0007980356046654701
cbbim,SubLeadJet_M,-0.001810926949048519
cbbim,SubLeadJet_Phi,-0.0021178637200736984
cbbim,SubLeadJet_pT,0.001872314303253475
cbbim,SubLeadPhoton_Eta,-0.0015960712093309182
cbbim,SubLeadPhoton_Phi,-0.0027624309392265457
cbbim,SubLeadPhoton_pT,0.0007980356046653813
cbbim,cosThetaStar,-0.0021485573971762096
cbbim,costheta1,-0.0011356660527931384
cbbim,costheta2,-0.0011049723756906492
cbbim,m_bbyy,3.069367710246684e-05
cbbim,pT_jj,0.01838551258440757
cbbim,signed_DeltaPhi_jj,-0.0048802946593002215
cbgim,DPhi_bb,0.0019030079803559862
cbgim,DPhi_yybb,0.0007775731532637442
cbgim,Eta_jj,0.00738694495600567
cbgim,Eta_yybb,0.0030898301616532954
cbgim,Higgs_Eta,0.0038264784121137428
cbgim,Higgs_Mass,0.18854102721506033
cbgim,Higgs_Phi,0.0021280949457744614
cbgim,Higgs_pT,0.01010845099242883
cbgim,LeadJet_Eta,0.003478616738285223
cbgim,LeadJet_M,0.0014732965009207843
cbgim,LeadJet_Phi,0.002537343973808004
cbgim,LeadJet_pT,0.030755064456721846
cbgim,LeadPhoton_Eta,0.00511561285041946
cbgim,LeadPhoton_Phi,0.00024554941682009
cbgim,LeadPhoton_pT,0.007980356046654346
cbgim,M_jj,0.008410067526089592
cbgim,Phi1,0.0006752608962553363
cbgim,Phi_jj,0.0007366482504603588
cbgim,SubLeadJet_Eta,0.0060568856148966125
cbgim,SubLeadJet_M,0.0015346838551257625
cbgim,SubLeadJet_Phi,0.0015960712093308072
cbgim,SubLeadJet_pT,0.005095150399017756
cbgim,SubLeadPhoton_Eta,0.0029056680990382057
cbgim,SubLeadPhoton_Phi,0.001268671986903991
cbgim,SubLeadPhoton_pT,0.010640474728872484
cbgim,cosThetaStar,0.0049723756906076885
cbgim,costheta1,0.00192347043175769
cbgim,costheta2,0.0018211581747492821
cbgim,m_bbyy,0.0037446286065069946
cbgim,pT_jj,0.0032535297728667257
cbgim,signed_DeltaPhi_jj,0.001391446695314058
cbhim,DPhi_bb,0.002782893390628227
cbhim,DPhi_yybb,0.0009208103130755374
cbhim,Eta_jj,0.0023327194597913214
cbhim,Eta_yybb,0.006957233476570512
cbhim,Higgs_Eta,0.0021076324943728464
cbhim,Higgs_Mass,0.22858604460814408
cbhim,Higgs_Phi,0.0013505217925107837
cbhim,Higgs_pT,0.0016779210149376223
cbhim,LeadJet_Eta,0.0037855535093104242
cbhim,LeadJet_M,0.00196439533456112
cbhim,LeadJet_Phi,0.0005320237364436542
cbhim,LeadJet_pT,0.025987313280130996
cbhim,LeadPhoton_Eta,0.002557806425209752
cbhim,LeadPhoton_Phi,0.0016574585635359186
cbhim,LeadPhoton_pT,0.003028442807448339
cbhim,M_jj,0.013321055862492348
cbhim,Phi1,0.002394106813996344
cbhim,Phi_jj,0.0003683241252302238
cbhim,SubLeadJet_Eta,0.0025373439738080707
cbhim,SubLeadJet_M,0.0022304072027829135
cbhim,SubLeadJet_Phi,0.0020053202373644828
cbhim,SubLeadJet_pT,0.0057499488438715
cbhim,SubLeadPhoton_Eta,0.002782893390628205
cbhim,SubLeadPhoton_Phi,0.0017188459177409853
cbhim,SubLeadPhoton_pT,0.006588909351340311
cbhim,cosThetaStar,0.001636996112134259
cbhim,costheta1,0.0033558420298752
cbhim,costheta2,0.0005524861878453136
cbhim,m_bbyy,0.005463474524248002
cbhim,pT_jj,0.015080826683036697
cbhim,signed_DeltaPhi_jj,0.002087170042971165
chbtil,DPhi_bb,0.00216901984857778
chbtil,DPhi_yybb,0.0010231225700838564
chbtil,Eta_jj,0.0023531819111929143
chbtil,Eta_yybb,0.001309596889707354
