BSM_Operator,rank,observable,histogram_overlap,overlap_deviation_1_minus_overlap,event_scope,n_bins
cbbim,1,LeadPhoton_pT,0.9130413766846001,0.08695862331539994,all_events,50
cbbim,2,signed_DeltaPhi_jj,0.9357759071948006,0.06422409280519936,all_events,50
cbbim,3,M_jj,0.9362101804918489,0.0637898195081511,all_events,50
cbgim,1,Higgs_Mass,0.45872944725921566,0.5412705527407844,all_events,50
cbgim,2,Higgs_pT,0.5360422123656472,0.4639577876343528,all_events,50
cbgim,3,DPhi_bb,0.577416820336098,0.422583179663902,all_events,50
cbhim,1,Higgs_Mass,0.5051600846000184,0.4948399153999816,all_events,50
cbhim,2,SubLeadPhoton_pT,0.8832385239843182,0.11676147601568176,all_events,50
cbhim,3,costheta1,0.9061899656410886,0.09381003435891144,all_events,50
chbtil,1,Higgs_Mass,0.3318145514557935,0.6681854485442065,all_events,50
chbtil,2,signed_DeltaPhi_jj,0.7568050392942381,0.24319496070576185,all_events,50
chbtil,3,M_jj,0.7995394617636198,0.20046053823638021,all_events,50
chgtil,1,Higgs_Mass,0.4854845913948602,0.5145154086051398,all_events,50
chgtil,2,Higgs_pT,0.6562787147699817,0.3437212852300183,all_events,50
chgtil,3,DPhi_bb,0.6912691841318664,0.30873081586813356,all_events,50
ctbim,1,Higgs_Phi,0.9695576647824254,0.030442335217574557,all_events,50
ctbim,2,Phi_jj,0.9707381597625452,0.029261840237454817,all_events,50
ctbim,3,LeadJet_Eta,0.9711188929212036,0.02888110707879643,all_events,50
